Facility ID,State,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
141335,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
141336,IL,Critical Access Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Same as the national average
141337,IL,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Not Available,Same as the national average
141338,IL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Same as the national average,Same as the national average
141339,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Above the national average,Same as the national average
141340,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
141341,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Same as the national average
141342,IL,Critical Access Hospitals,Proprietary,Yes,4,Not Available,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
141343,IL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Below the national average
141344,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
141345,IL,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
141346,IL,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Not Available,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Not Available,Not Available
141347,IL,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Not Available,Not Available
141348,IL,Critical Access Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
141349,IL,Critical Access Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Same as the national average
141350,IL,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Not Available,Same as the national average
141351,IL,Critical Access Hospitals,Government - Local,Yes,2,Same as the national average,Not Available,Below the national average,Not Available,Not Available,Same as the national average,Not Available
143300,IL,Childrens,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
143301,IL,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
143302,IL,Childrens,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144005,IL,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144009,IL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144010,IL,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144016,IL,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144021,IL,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144026,IL,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144028,IL,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144029,IL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144031,IL,Psychiatric,Voluntary non-profit - Church,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144034,IL,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144035,IL,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144037,IL,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144038,IL,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144039,IL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
144040,IL,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
150001,IN,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150002,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
150004,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
150005,IN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150006,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
150007,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
150008,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150009,IN,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
150010,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150011,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150012,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
150015,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150017,IN,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
150018,IN,Acute Care Hospitals,Government - Local,Yes,4,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150021,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
150022,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
150023,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
150024,IN,Acute Care Hospitals,Government - Local,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150026,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
150030,IN,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150034,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150035,IN,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average
150037,IN,Acute Care Hospitals,Government - Local,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150042,IN,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150044,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
150045,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Not Available
150046,IN,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
150047,IN,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
150048,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
150051,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
150056,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Above the national average
150057,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150058,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
150059,IN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150061,IN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
150065,IN,Acute Care Hospitals,Government - Local,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150069,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150072,IN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150074,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150075,IN,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150076,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
150082,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150084,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average
150086,IN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150088,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
150089,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
150090,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
150091,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150097,IN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
150100,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
150101,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150102,IN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
150104,IN,Acute Care Hospitals,Government - Local,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150109,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150112,IN,Acute Care Hospitals,Government - Local,Yes,3,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
150113,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150115,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150125,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150126,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
150128,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150133,IN,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Above the national average,Above the national average,Same as the national average
150146,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
150149,IN,Acute Care Hospitals,Proprietary,Yes,5,Not Available,Same as the national average,Not Available,Above the national average,Same as the national average,Above the national average,Not Available
150150,IN,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150153,IN,Acute Care Hospitals,Proprietary,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Not Available,Same as the national average,Not Available
150157,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average
150158,IN,Acute Care Hospitals,Proprietary,Yes,5,Above the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
150160,IN,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
150161,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
150162,IN,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
150165,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150166,IN,Acute Care Hospitals,Physician,No,4,Same as the national average,Not Available,Same as the national average,Above the national average,Not Available,Not Available,Not Available
150167,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
150168,IN,Acute Care Hospitals,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Not Available,Not Available,Not Available
150169,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average
150172,IN,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Below the national average,Not Available,Not Available
150173,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
150177,IN,Acute Care Hospitals,Physician,No,Not Available,Not Available,Not Available,Not Available,Above the national average,Same as the national average,Not Available,Not Available
150179,IN,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
150181,IN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
150183,IN,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
151300,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Not Available,Same as the national average
151301,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Not Available,Not Available,Same as the national average,Above the national average,Same as the national average,Same as the national average,Not Available
151302,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Same as the national average,Not Available
151303,IN,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4,Not Available,Not Available,Same as the national average,Not Available,Not Available,Same as the national average,Same as the national average
151304,IN,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Below the national average,Same as the national average,Same as the national average
151305,IN,Critical Access Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
151306,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average
151307,IN,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Same as the national average
151308,IN,Critical Access Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
151309,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
151310,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
151311,IN,Critical Access Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Same as the national average
151312,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Above the national average,Same as the national average
151313,IN,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Not Available,Same as the national average
151314,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Same as the national average
151315,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
151316,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Not Available,Above the national average,Not Available
151317,IN,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Not Available,Above the national average,Same as the national average
151318,IN,Critical Access Hospitals,Proprietary,Yes,4,Same as the national average,Not Available,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
151319,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Same as the national average
151320,IN,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
151322,IN,Critical Access Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Not Available,Below the national average,Same as the national average,Not Available,Not Available,Below the national average
151323,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Not Available
151324,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
151325,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available,Above the national average,Not Available
151326,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average
151327,IN,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Below the national average,Above the national average,Not Available,Not Available,Not Available
151328,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Not Available,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average
151329,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Below the national average
151330,IN,Critical Access Hospitals,Government - Local,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
151331,IN,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average
151332,IN,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
151333,IN,Critical Access Hospitals,Government - Local,Yes,3,Same as the national average,Not Available,Above the national average,Same as the national average,Not Available,Above the national average,Same as the national average
151334,IN,Critical Access Hospitals,Proprietary,Yes,3,Same as the national average,Not Available,Below the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
151335,IN,Critical Access Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
154005,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154008,IN,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154009,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154011,IN,Psychiatric,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154014,IN,Psychiatric,Voluntary non-profit - Private,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154018,IN,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154019,IN,Psychiatric,Government - State,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154020,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154021,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154024,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154031,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154035,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154041,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154047,IN,Psychiatric,Voluntary non-profit - Other,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154050,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154051,IN,Psychiatric,Proprietary,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154052,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154053,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154054,IN,Psychiatric,Voluntary non-profit - Other,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154055,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154056,IN,Psychiatric,Government - State,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154057,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154058,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154059,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154060,IN,Psychiatric,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154061,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154063,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154064,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
154065,IN,Psychiatric,Proprietary,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
160001,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
160005,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
160008,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Above the national average,Not Available,Same as the national average,Same as the national average,Not Available
160013,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
160016,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
160028,IA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
