	username	rating	content
108	hi bye	1	I took my 8 year old daughter with a abdominal pain and a lot o fever,came back and they returned her to the house to take her back for the same pain and I just said it was stomach pain without taking any special exam and by the third time  I was sure it was a symptom of appendicitis  without being a doctor and I told them and they wanted to return to the house to see that the fever rose very high there if they tried exams  resulting in peritonitis 😤😭
109	Melissa Kierstead	5	Best hospital. Nurses have been wonderful
110	Matthew S.	1	"Be prepared to have lost a limb or be bleeding from your eyes to have them see you at the walk in clinic here. I showed up one afternoon with a severe case of bronchitis to the point where I couldn't eat or swallow only to be turned away because they were ""too busy"" to see me. I would have waited, I had nowhere else to be, but no, every single doctor was busy and they were closing at 7. Mind you it was around 4 pm and there were maybe three other people in the waiting room. The receptionist just stared at me until I left. Clearly their priority is taking care of people...worthless."
111	Foucaldian Bruno	1	"I'm a professor at MIT. I had sinus surgery (turbinate reduction and septoplasty) about a year ago at MGH. The surgeon, Dr Sedaghat, kept on saying you'll breath so much better after the procedure... well, my right nostril is now completely clogged, which wasn't the case before. Worse, they have no clue about what happened (Dr Sedaghat just said I must have made a mistake), sent me to another specialist at MGH (in plastic surgery) who simply told me it might improve. It was eight months ago. And I hasn't. No follow up appointment since. Let alone the fact that I mentioned bad reactions to morphine and they still used a massive dose for anesthesia,
which made me very sick (though morphine was actually not needed according to the surgeon I consulted in France recently and who will perform surgery again). I spent the day in the post-operative room extremely nauseous... What they gave me didn't help at all. When I went back home, I took a pill of Dramamine, the most basic OTC anti-emetic pill. Nausea went away in 20-30 min! Last, MGH treats you like a number. The Sinus Center staff was hardly polite and they don't answer the phone when needed. Really poor service, and awful experience in all respects."
112	Carol Swanburg	4	My dad was transferred to MGH from Portsmouth Regional after major complications following heart surgery and they saved his life. I am very appreciative of the doctors and nurses on the White 11th floor Bigelow F team. They were able to identify that he had a strep infection in his blood by doing a blood culture and treated him for it and now he is back home. The nurses and nursing assistants were great and did everything with a smile! The only thing that would have made it better was if he had a private room, because one of the roommates he had for a day and a half was yelling all night and kept him awake.
113	Gege Fox	5	I spent 5 weeks in the burn unit. The staff was great!
114	XohvyFN	5	Great hospital, I go there too, very good for health care
115	Angelina Mansour	1	My husband  family  works there and we live in buffalo and I have autoamune dease and my husband house is filled with lead and lots of holes in ceilings. The pipes have never been changed.   Thank you
116	Billy Cocorochio	5	I was at the M.G.H a few days ago, my girlfriend fell and hurt herself, It took about 2 hours from the time we stepped into the Fast Track, she was reviewed immediately, then taken right to X=Ray, the DR kept us well informed threw the entire wait witch was nothing flat, they informed her that she had fractured a rib, explained what she should do for recovery, treated her pain and we were finished, also there is a pharmacy located in the hospital, The entire visit was totally enjoyable. I recommend this Fantastic Hospital to anyone. Thank You M.G.H.
117	GG	1	Guys you have a lot of money. Spend some on training those people who answer the phone calls. Not professional at all. Also, do QA on the phone calls. It's their to ensure quality of your service, if you do care!!
118	Samnang Heng	1	I give you one star because deaf people not like writing or read lip. They want to LIVE ASL interpreter. We have Human right.
119	cat wu	4	Rating is really depends on which doctor you have, I have amazing ones and had bad ones. most of them are very professional and nice tho.
120	Andrea Clocchiatti	5	I have been here for a minor but recurrent problem in my foot. Doctors very kind and professional pointed me to the right treatment
121	Kanwaljit Singh Mangat	5	Great place for getting urgent medical care God forbid if you need one
122	James Garcia	1	CAN I GO LOWER THAN 1 STAR?!? THEY KILLED MY GRANDFATHER! My grandfather was recovering in the icu perfectly from his tumor removal. I did not know but they drugged him with 3 drugs that make him not in his right mind for decisions. Later they slowly overdosed him on morphine which later he passed away from it. The staff were rude and when we tried to argue they called security. Don't step foot in this piece of unconstructed hospital. If you want to let your loved ones get murdered then visit this hospital. I regret having the surgery here and wish I could go below one star.
123	T.J. Day	5	Nice place to have a party at a world class medical facility.
124	Vone Chanvong	5	Thank you to all the doctors and nurses for helping me to battle this cancer. You are my team of angels.  🙏
125	Samanntha Silveira	4	"Iam brasilian ....if need help
Now we havent good comunication."
126	Nathan Harding	5	M.G.H is by far the best hospital in this country doctors are great but the Nurses are the best in the world they make that hospital GREAT!!! They are kind giving and exceptionally warm love those Nurses on Blake 8 Cardiac icu.
127	Demirevs Demirevs	5	"I'm really very helpful!
Have a nice Christmas and a Happy 2016 Year!"
128	绮美暮霭	1	It's the most worse service offer here. I made a phone call to Dr Chang who just saw me a week ago to make a fellow appointment. when then phone get reached the office, a women told me that  they never head this doctor's name. What's the
129	Adrian B	1	"The healthcare service was not good in the ER room. (I had just been unconscious/ talked incoherently after being hit by a car). The bandage provided would stick to the sutures over the next few days, and replacing bandages would be painful. They did not assess my situation carefully at all. They noted I had full sensation in my upper extremities and full range of motion. This is impossible! I still have Axillary nerve damage more than 2 months on from the accident. CT scans and x-rays were done more than 4 hours after the incident.

Days later, another clinic provided me with Adaptic, a non adhesive dressing which would have been useful from the beginning! The situation report written by MGH was written with very poor English, it doesn't really make sense.

The sutures did not heal very well, at all. They skipped certain areas, and used Steri-Strips instead, as that would be easier for them. Now it is scarring badly.

The hospital lost my wallet and all of its contents too! I asked several different people where my wallet was, and they would leave, and never come back to my hospital bed. I had to ask more than 5 times, to get an explanation as to why they lost it. It was really disappointing time in MGH.

They then wanted to kick me out of the hospital at 2.30am, after they gave me hydroxymorphone. I could barely stand."
130	Julia Sarah Terceros	5	My mother is the best nurse and she will take great care of you
131	Nancy Tempest	5	Fantastic bedside manner.The best hospital in the country.Thanks for being there for my father.
132	Partizan	5	"I want to say THANKS for all doctors and nurses in Emergence department MGH. Its very competent, educated and unbelievable polite people !!! I say: THANK YOU !!! You are the Best ever !
GOD Bless you all"
133	Charlie Feng	1	you can not imagine that how slow the hospitol is. If I am a illness people who want to get treatment from this hospital. I think that I may get crazy on my mind. How come it take at least 4 hours for a doctor to deal with a sick person. Did they think about the feeling of sick person?? They should realize how serious this problem is!!!!!
134	Jennifer Stadnik	5	Quite impressed with everyone in the pediatric GI center.  They were very pleasant and Dr. Moran was wonderful in explaining everything.
135	Gloria Cuervo	5	VERY GOOD PEOPLE AND SERVICES. THANKS.
136	Veronica Duarte	5	Take n good care of my baby bro. Fighting for his life  due to liver cancer. Plz say a pray for Richey Botelho and  everyone else in need of a prayer.
137	Elly-May O'Toole	5	Best hospital to bring someone in an emergency if you want them to live.
138	cici brown	1	"I've been a patient here for 3 years now (seeking a new place to go). I tried to have my medical records transferred here and was told that my previous hospital didn't use the same record keeping system, so they wouldn't be able to use my medical history at all. Also they have created a medical record history for me and it has false information they refuse to remove. You can't say someone has an illness without testing them for it.

Every time I call the receptionists and operators in EVERY department are inept and condescending. When I leave voice mails at the ankle and foot clinic (because no one in this department answers the phone) no one ever calls me back.

Most times you have to wait 2 to 4 months for an appointment. I have tried switching doctors and departments but there is the same lack of treatment in every department.

Also most of the doctors are pretentious and have a superiority complex. I've explained several times that we are partners in my health care journey, and that it is not a dictatorship...they don't know how to respect their patients."
139	Tim Mckinnon	1	So there is a nationwide opioid addiction epidemic. I'm here with 2 broken legs from a car accident. The Dr is more than willing to give you opioid pain killers. But when I ask for a pain medicine that's not addictive they laugh at me and say no. Cannabis is not addictive and helps with the pain just as much. Good job. I blame these hospitals for making addicts
140	sean guerin	5	one of the best in the world, saved my friends life after brain aneurism
141	Claressa Dionne	1	horrible communication no one knew what was going on with my family member there. Everyday there was a new team consisting of new people (students/residents) that knew nothing about their patient. I wouldn't wish my worst enemy to go there for any sort of care!
142	Erik O	5	Took excellent care of my father. Cured him of an illness he had been suffering from for nearly 20 years.  Thank you Mass general!
143	David Wolniewicz	5	Are you kidding me? Best in the world. Period
144	Craig Issod	5	What can I say? This hospital represents the best available health care - probably in the USA. It's a historic places (first public hospital in US) that has grown with the times. The community has supported it to the tune of billions of dollars making it into a small city within itself. The Neuro units - from surgery to intensive care to the 2 Neuro floors in the Lunder Building - represent the top of the line.
145	NIL Fantasy Studio	5	Best Hospital ever
146	Debbie Perkins	5	My husband was life flighted down from Lewiston Me. They saved his life by doing a triple by pass. He is home now and doing well.
147	trina tatum	5	The Physcians Nurses as well as the Staff are Phenomenal!
148	Jazzeeb Flatley	5	"Dr. Pratt saved my life. Dr.Pratt is the best specialist/ doctor I have ever had.
Thank You Dr.Pratt
xo"
149	Sarah Kramer	5	Psychiatry services are amazing, from ketamine trials to ECT.
150	Minh Mai	5	Best faefolk of the tree dwellers pies sold here
151	Paul Sullivan	5	They have some of the greatest Doctors in the world i give them 5 stars
152	kati Bh	4	I get delivered  my 2 kids there in first night I saw tiers nurser tell me to take my girl at daycare night with other nurse  when is back I saw scarce in face to my girl I try to tell her that but I was too tired .so if have baby don't leave them with care night!!!.
153	luca leao	5	Thank you for helping me for my appendectomy and also my rectal exam
154	Dorothy Carlson	1	They tout their own praises but cannot treat or dont know how to treat Bertolotti Syndrome.
155	Jeremy Irland	5	I had a very bad series of broken bones and soft tissue tearing. Every single person I worked with at MGH from the doctors and nurses and everyone else I encountered... I was treated like a human being. I was so thankful I was transported to this hospital. :) if you are in the unfortunate position to need a hospital, I hope you can find your way to MGH.
156	Brianna Konopka	1	horrible. They took over 3 hours and didn’t help whatsoever. Such a waste i could’ve went to a pet store and they would’ve done more than they did. Pathetic.
157	Michael Keith	4	That was the very best best heliport on top of massachusetts general hospital is the greatest hospital i ever seen on the.largest bostons maps ever
158	christina gordon	5	This place is the best  in the world it is nothing like Melrose-Wakefield Hospital because that place stinks
159	Elliott Management	1	WAY overrated! Too busy and no real interaction with patients. All ALGORITHMS. If you need a procedure done maybe go here, but not for urgent care, unless you are a trauma victim, in which case what choice do you have, anyway? Go to bwh or somewhere else if you have a choice
160	Christopher Gauthier	5	The best of the best hospital in the world
161	mcragosta	5	saved my teenager daughter's life.  Forever grateful.
162	Cam Mercier	5	Lily Anna Doom narova save my life
163	Samantha Battis	1	"We have used the Massachusetts General Hospital franchise for a number of years, and at a number of their various locations. My son has autism, with other complex medical issues, and overall their service and treatment for my son has been impeccable. Their knowledge and family support at the Lurie Family Autism Center has been stellar. I am forced though, after a recent emergency room visit to give one star. While visiting Boston for a doctors appointment and leisure activities my son had an autism meltdown requiring an ambulance ride to MGH ER, at, when upon arrival, arrived completely calm and responsive. Our wait time to see a medical doctor was quick, and a cursory examination was done to medically clear my son. I thought we were getting discharged, but my 11 year old son was then transferred to a psychiatric area with adults. I explained to the nursing staff that the ""special psychiatric"" locked rooms would cause an increase in his anxiety, and since he was calm and relaxed we didn't need to be there. My request was ignored. We arrived at 5pm. We were examined by a female fellow with very limited knowledge on autism. Protocol at other hospitals we have been to have followed current recommendations in that those diagnosed with autism thrive better in their own environments. She decided to make him stay the night. I asked for a room that wasn't a ""locked"" room, one that had a chair for me, and that my son needed supper. They said no chair, and they couldn't help with dinner. My son remained calm and baseline the entire evening. Throughout the night I filmed my son so I could text his father, who was very worried. At 11:00pm, I was approached by head of security who explained that I could not use my phone to take pictures for HIPPA reasons, and that she would need to see all the pictures on my phone. I explained that my pictures were for his father, and that all pictures taken were done from the privacy of our locked room. I further explained that the three receptionists were ""snap chatting"" on their phones for a period of about 20 minutes in the public area, which I think would me more of a HIPPA concern. The unfortunate side of security pulling me away from my son needlessly was that he was terrified when I left the room, had an anxiety attack, requiring a shot of Haldol to relax him. For sleeping arrangements my son was on a narrow stretcher, and I sat at the end. The following morning we were evaluated by extremely knowledgable staff who discharged us immediately and apologized on behalf of their colleagues for having us stay needlessly. They were the polite, courteous and genuinely sweet. Upon discharge I asked for a shower for my son as he wet the bed and they said it wasn't possible. We left the hospital at 11:00am, for the 2 hour ride home with a wet son, who still hadn't eaten from the day before. If you need an emergency room for your child with autism, do not go to MGH. While their autism clinic in Lexington is top notch, their knowledge hasn't transferred to their Emergency room at their main campus. For a hospital with such amazing accolades I find it unacceptable. Without a doubt if my son had a brain tumor, or diabetes for sure our treatment would have been better, we would have been offered food, better sleeping accommodations, better access to medical staff, and I'm sure a shower. My son was not treated like a child with complex medical needs, he was treated like he was a bother. Do not choose this emergency room for autism spectrum disorder."
164	Franck Dernoncourt	1	"A 15 USD fee to get an electronic copy of my x-ray or MRI is not something I enjoy. Data should belong to patients. Do you still live in the 19th century?

Also, just a warning for anyone going there for a surgery: some MGH surgeons practice concurrent surgeries (this means that your surgeon may operate several patients at once). Google ""Concurrent surgeries at Mass General caught in crosshairs of new lawsuit"" for more information. MGH claims that ""Data from the MGH as well as national studies have demonstrated no difference in complication rates for overlapping and non-overlapping cases."" but that's false, e.g. see the study ""Ravi, Bheeshma, Daniel Pincus, David Wasserstein, Anand Govindarajan, Anjie Huang, Peter C. Austin, Richard Jenkinson, Patrick DG Henry, J. Michael Paterson, and Hans J. Kreder. ""Association of overlapping surgery with increased risk for complications following hip surgery: a population-based, matched cohort study."" JAMA Internal Medicine (2017)."""
165	Vicky Haskell	5	Wow I come down from Portsmouth NH because many are clueless!  These folks truly are the best on earth.
166	Brenda Simpson	3	"I have a problem when your child come into the hospital stay i. Emergency room overnight no room but gets admitted then squeezed in the next day at 11 am to 7th floor treated fine the first night and the remaining of current stay she has to contact the nurse for her scedule pain medicine and then she or he comes into the like you are causing them a problem but you work everyday and your insurance is paying fot them to have a job
This professional nurse career. Had gone down the tube are we that greedy for money till we forget the human part of it something's need to changed"
167	Brian St. Germain	5	Thank god for Mass General.  We are very fortunate to live so close.
168	Bayoan Martinez-Yung	5	Dr. Benz usually works on this hospital. I got an injured foot when I get off on the Green Line from the “E” train 🚂 at Riverway when I was walking to Brookline to the toy store, then the “D” train 🚂 to Chestnut Hill to have Shake Shack for my lunch.
169	Grace Lee	5	it's a pretty dank hospital
170	Deborah Horner-Richardson	5	We live near Dartmouth Hitchocock Medical Center - teaching hospital for Dartmouth Medical School, but they cannot hold a candle to MGH.  Docs at MGH do a much better job of diagnosing illnesses (in my case and for many friends, as well) and they have a level of professionalism I have never seen anywhere else.  I can see why people come from all over the world to be treated here.  After two years of treatment for a rare head and neck cancer, I would not go anywhere else.  The three hour drive every eight weeks is easily worth the care I receive at MGH.
171	Tak Mok	5	Best hospital on the East Coast great place with great doctors
172	Miguel Angel C. Gallardo	5	"Gracias doctor David Furcione
Excellence is how I would describe MGH in one word The fine doctors and nurses saved my life and we are forever grateful."
173	ahmed shash	5	Historical place ,,, ether Dome
174	Cheryl Fleming	5	Very good hospital to be at all the doctors are helpful there.
175	Tony Cappotto	5	Im here for an emergency splienectomy and from emergency to ICU to stable.The most courteous and proffessional staff ive come across.
176	Tom Roller	2	"Hit or miss, full of arrogant doctors/students/nurses (some really really bad) with no one to answer to it seems; though some excellent doctors and some excellent nurses (we had mostly OK). Wife had brain tumor met from breast cancer; some exc nurses, some don't care a bit about the pain or discomfort; doctors come in, do the same tests 5x in a day; lo and behold, most charged and big money at that. 5 min for 750.00 in a couple of cases and only share information if asked, and some very begrudgingly at that. The worst was one appt the doctor walked out on wife while she was almost in a seizure, (we were in because she was having seizures) never came back cause she was through with wife not wanting to take any more keppra because of the way it made her feel (I waited 10 minutes, wife calmed down, dr never came back or checked on her though I told her ""watch, here it (the seizure) comes...""). And we are not rude people or disrespectful to anyone that we know of.
One dr cut out an eyepatch and put it on her (she was cross-eyed from the tumor) and said"" there, now I really made you look stupid..."" Be prepared for lots of behind the walls/doors laughter at the radiation room; students and nurses have a lot of fun there I guess...LOUDLY. Real appropriate for sick people. Really liked our radiation oncologist though he had the rudest nurse perhaps I have ever talked to on the phone or in office anywhere.
Check-in in over-crowded room downstairs before brain shunt for surgery - haitian nurse literally makes fun of man (very sick) who, when she mispronounced his name, he corrected her nicely - she glared him down and childishly repeated his name loudly in mimicry while rolling her eyes. I was do disgusted. He was sick, disfigured, and found it hard to stand up. Shame on the managers of MGH. It is a human zoo full of the best equipment you'll find, but hit or miss when it comes to doctors or help."
177	Susan Jones	5	Used there Brain Surgery Staff amazing  not to mention the nurses in icu blake unit I was in icu for a week because it was during the flu so there was no rooms everyone we meet was awesome if i didnt leave so far away i would change all my doctors down there.
178	Waryaa News	5	Best hospital in the world Mgh good service best doctors our first Time delivery baby in Mgh Lovely pple work here they take care you like your mom and dad
179	Erica Meehan	1	Absolutely terrible.dont come here if you want any help at all.
180	Craig Hayes	1	Dr. House was very rude to me
181	Márcio Andrade Dias	5	Great Hospital. Harvard Medical School's Hospital.
182	Vanessa Fyler	5	I had all 5 of my kids there the service was great i love the staff. d(*_*)b
183	Carol Cherhoniak	1	Dr Amy Colwell performed a panniculectomy instead of the tummy tuck I requested.
184	Wassim Lahlou	1	the worse hospital I have seen in my life in this Hospital there is no equal opportunity  its all about who you know .
185	Dominic SHAUGHNESSY	5	Triple bypass surgery care was excellent in 2013
186	Bill Chisholm	5	One of the top Neurosurgery department with new surgical and ICU
187	Kyler	5	Nothing but love from the top down
188	Gimo jose Mandede	4	Is very good my name is Alfândega like
189	The David and Jason Show	5	Great hospital Nurses are so wonderful
190	James Redmond	5	Excellent care of both patient and families.
191	Cowwarrior107	5	Great hospital👩‍⚕️
192	Jay Mistry	5	My Best Friends House.
193	Pat Vareschi	5	Medical staff is amazing
194	Jay Richards	5	I was born here. 1964...
195	Gabriel Hahn	1	Half brother got infected while in hospital here and died from it.
196	Mike Hutchings	5	I work there
197	Kim Mello	3	It's too busy, it's Boston, I'm a small town girl. Too many people, too many floors, wings, etc. I was exhausted from the walk from my man's room to the lobby. That was my experience as a visitor. I've never been a patient.
198	Ning Chang	4	Good Service, with professional stuff
199	Aliza Rose	3	This hospital isn't very good with their patients, and they take forever in the ER. The doctors are very smart but the waiting time isn't worth it.
200	Pasqualino Ferralis	5	MGH. nothing to say is an excellent hospital.
201	Arturo Vicente	5	The best hospital of Boston
202	Samuel Villegas	4	The Name Says It All
203	Andrei Petrovsky	5	Had an unexpected scare and the doctors here took great care of me.  On the mend now and hopefully won't have to come back!
204	alek	5	Great
205	Tammy Grondin	5	Staff are great
206	MARTIN CHAN	1	No good
207	Joshua Janvrin	3	ER....is odd they treat you in the waiting area...I was not impressed ...I waited for 2hrs
208	Ali Alazzawi	5	Best place ever
209	Pratip Banerji	5	Wonderful hospital.
210	Dana Dakak	1	I'm waiting for dr and booking appointments for long time , and service is completely bad , but there is no choice to choose , so you stuck to come here and see specialist
211	eddie khattab	5	I'm borned in this hospital
212	shireen jan	1	Emergency room sucks, very disrespectful nurses making you feel guilty you even entered the emergency.
213	Ashish Nangia	2	also places visited last 8 months
214	Makayla Dzurik	5	treated me well
215	loren smith	4	Nice
216	Bobby Boom	5	This is real hospital.
217	RAMDUTH YATRA	5	GOOD
218	Evan DiLeo	5	The best, period.
219	Layla Asgar	4	They care about you a lot, just that they make you for very long time
220	Fernando Franco Cuadrado	5	Excellent!
221	Felaly Anim	5	Caring and very dedicated staff
222	Julito Anaya	5	Best care ever
223	kk monick	5	Nice
224	Abderrahmane Chegrouche	5	So
225	Nick Rainone	5	A genuine staff there
226	Alex H	5	Best overall care
227	Alex Cournoyer	4	One of the finest teaching hospital in the world
228	O A	5	Best hospital! ⭐️⭐️⭐️⭐️⭐️
229	Robert Peters	5	Saved my life
230	Jason Zhang	5	Good experience
231	Kevin Cedeno	3	Just a simple check up
232	Baby Assasins creed	5	Good hospital good servis
233	Kuba Kondrat	5	It is so so so huge
234	Jim Stanford	5	The don't call it Mankind's Greatest Hospital for nothing
235	The angry birds And blow ups	1	I broke my leg because I fall from the bed they are kind
236	Zeeshan Sadiq	5	My dream
237	Dave Leria	5	The best
238	Temi Ogunbodede	4	Great Hospital!
239	boston ma	5	Saved my life.
240	Pedro Paramo	5	i hope, one day i will be resident here
241	The Gaming Zombie	5	This Hospital helps you recover from bad injuries
242	Nancy Carter	5	Great.
243	Norris Knight	5	Best in Boston
244	Sean Poore	5	It's the only hospital I'll go to.
245	Tomasz Skaba	5	Excellent place to become Neurosurgeon.
246	Karl Laguere	3	Not bad
247	Karuna Sachdeva	5	Great
248	liang cheng	1	Don't go! Worst Hospital ever, waited 5 hours just to get a prescription for mild fever!
249	Daniel J O'Leary	5	Well run!
250	Irma Seda	5	I need the number
251	Colten Scott	5	Amazing place
252	Loki's Lair Paintball	5	Best ER around!
253	Alondramil Colon	4	Great nurses attention satisfied! !
254	Alfredo Barbera	5	"(Translated by Google) Alfredo Barbera Barbe is here: The Hermit Fisherman - Peñíscola.
New member · May 16 at 7:03 pm · Peñíscola
I am looking for a relative who in the 60s and 70s lived in Barcelona benia on summer vacation in the town of VINAROS - SPAIN about 40 years have passed and I don't know anything about her my emotion would be because something very big she studied medicine and went to Working in Boston or Massachuset over time, I know that she is a doctor in a Boston or Massachusetts hospital. look it up I leave my phone in case someone can do something 0034654279067 I live in Spain Peñiscola my facebook is alfredo barbera barbe my email is alfredobarbera26@gmail.com if someone can do something please get in touch i know which way to go i think they will have about 64 years more or less thank you and all the health in the world to all thank you thank you very much it is very difficult but I try to think about it I cry with emotion if I kissed her and could give her a big hug WHEN BENI AA VINAROS YOUR GRANDMOTHER WHO WAS A FAMILY FAR FROM MY PARENTS WE WERE SOME CHILDREN HER GRANDMOTHER PLAYED A WONDERFUL PIANO I feel like crying that you are answering me if you call me from the US TO SPAIN it seems to me that the first numbers are these 0034654279067 or facebook or my email is written thank you

(Original)
Alfredo Barbera Barbe está aquí: El Pescador ermitaño - Peñíscola.
Nuevo miembro · 16 de mayo a las 19:03 · Peñíscola
busco a un familiar que en los años 60 y 70 vivia en Barcelona benia de vacaciones en verano al pueblo de VINAROS - ESPAÑA han pasado unos 40 años y no se nada de ella mi emocion seria pues algo muy grande ella estudio medicina y se fue a trabjar a Boston o Massachuset con el tiempo se que es medico en un hospital de boston o massachuset se llama ,,,Carolina Obiol,,, nose el segundo apellido si pudiese contactar con ella pues seria algo en mi vida maravilloso nose que camino cojer para buscarla yo dejo mi telefono por si alguien puede hacer algo 0034654279067 yo vivo en españa Peñiscola mi facebook es alfredo barbera barbe mi correo es alfredobarbera26@gmail.com si alguien puede hacer algo por favor ponerse en contacto es importante nose que camino cojer pienso que tendra unos 64 años mas o menos gracias y toda la salud del mundo a todos gracias muchas gracias se que es muy dificil pero yo lo intento de pensarlo lloro de emocion si la biese y le pudiera dar un fuerte abrazo CUANDO BENIA A VINAROS SU ABUELA QUE ERA FAMILIAR LEJANA DE MIS PADRES NOSOTROS ERAMOS UNOS NIÑOS SU ABUELA NOS TOCABA UN PIANO MARAVILLOSO me entran ganas de llorar que me estais contestando gracias si me llaman desde EEUU A ESPAÑA me parece que los numeros primeros son estos 0034654279067 o mi facebook o mi correo esta escrito gracias"
255	hamama almansoori	1	"(Translated by Google) It's very bad service I'm waiting one hour and half in walk in clinic to see doctor

And very expensive 500 $ just to see doctor with out medicine

Tip No If you are looking for a medicine, do not go to the commercial hospital

Just open the file for $ 500 and wait for an hour and two to two hours for Dr.

(Original)
It’s very bad service I’m waiting one hour and half in walk in clinic to see doctor

And very expensive 500$ just to see doctor with out medicine

نصيحة لا اذا كنتم بس تبحثون عن دواء لا تلجأون لهالمستشفى التجاري

فقط لفتح ملف 500$  وانتظار ساعة ونص الى ساعتين للدكتور"
256	Sebastiao Souz	5	"(Translated by Google) IT WAS LEGAL TO KNOW FOR THE GUUGO I WILL PREPARE TO MEET PERSONALLY

(Original)
FOI LEGAL CONHECER PELO GUUGO VOU ME PREPARAR PRA CONHECER PESSOALMENTE"
257	طلال العتيبي	3	"(Translated by Google) (Translated by Google) My primary care provider is through MGH, and I've been here for years, it's a great hospital the staff are always friendly and attentive. Wether had myself or a family there, nothing good except to say about MGH. Even the other sites they have are good, ie, River, Chelsea..etc.

(Original text)
My PCP is through MGH, I've been going here for years, it's a great hospital. The staff is always friendly and attentive. Wether it was myself or family there, nothing but good to say about MGH. Even the other locations they have are good, ie., Revere, Chelsea..etc.

(Original)
(مترجم بواسطة Google) ﻣوﻓر اﻟرﻋﺎﯾﺔ اﻷوﻟﯾﺔ اﻟﺧﺎص ﺑﻲ ھو ﻣن ﺧﻼل MGH ، وأﻧﺎ ﻣﺗواﺟد ھﻧﺎ ﻷﻋوام ، إﻧﮫ ﻣﺳﺗﺷﻔﯽ راﺋﻊ الموظفون دائماً ودية واعية. Wether كان نفسي أو عائلة هناك ، لا شيء جيد إلا أن أقول عن MGH. حتى المواقع الأخرى لديهم جيدة ، أي ، ريفير ، تشيلسي..الخ.

(النص الأصلي)
My PCP is through MGH, I've been going here for years, it's a great hospital. The staff is always friendly and attentive. Wether it was myself or family there, nothing but good to say about MGH. Even the other locations they have are good, ie., Revere, Chelsea..etc."
258	Hildebrand Schwab	5	"(Translated by Google) (Subsequent review for July 2015) For professional reasons I have visited the Ether Dome. Not easy to find, but free access. If completed, just ring, then opens. We had the lecture hall completely to ourselves. I was thrilled, the children had (unfortunately / understandably) only a limited interest.
I can not judge the quality of the medical care, because I did not get treated.

(Original)
(Nachträgliche Rezension für Juli 2015) Aus beruflichem Interesse habe ich den Ether Dome besichtigt. Nicht ganz leicht zu finden, aber kostenloser Zugang. Falls abgeschlossen, einfach klingeln, wird dann geöffnet. Wir hatten den Hörsaal ganz für uns allein. Ich war begeistert, die Kinder hatten (leider/verständlicherweise) nur ein eingeschränktes Interesse.
Die Qualität der medizinischen Betreuung kann ich nicht beurteilen, da ich mich nicht habe behandeln lassen."
259	Yuan Yuan	5	"(Translated by Google) The Massachusetts General Hospital is a comprehensive hospital located in Boston. It is the oldest and largest hospital in New England, and the largest medical teaching center and biomedical research base at Harvard University. The hospital currently offers different types of medical services and has a very strong research atmosphere. The Academy has been well received by several institutions.

(Original)
麻省總醫院為一所坐落於波士頓的綜合型醫院。其為美國新英格蘭地區最古老且最具規模的醫院，並是哈佛大學最大型的醫學教學中心及生物醫學研究基地。院方目前提供不同類型的醫療服務，亦具非常濃厚的研究氣氛。麻院同時獲得多個機構的好評。"
260	Monica De Oleo	5	"(Translated by Google) Excellent

(Original)
Excelente"
261	Arnold's Gaaming!!	5	"(Translated by Google) Top quality care. Excellent doctors and very efficient staff
...

(Original)
Atención de primera calidad. Excelentes médicos y un personal muy eficiente
..."
262	Iara Pereira	5	"(Translated by Google) I already had a surgery, breast reduction, I loved ....

(Original)
Ja fiz uma cirurgia,reduçao de mamas,amei...."
263	도돌	5	"(Translated by Google) Harvard Medical School's training hospital, or World's best General Hospital

(Original)
Harvard Medical School 의 수련병원 즉 세계 최고의 병원 World's best General Hospital"
264	Kuwaiti Man	5	"(Translated by Google) Who wants 3 bedroom apartment in front of the hospital directly continues with the contract system for the rest of her six months !!

(Original)
اللي يبي شقه 3 غرف نوم وصالة امام المستشفى مباشره يتواصل معاي نظام عقد باقي لها ست شهور !!"
265	Maria Castillo	5	"(Translated by Google) ESELENTE service. a job. very pretty. an attention. extraordinary wow

(Original)
ESELENTE servicio. un trabajo. muy  bonito. una atención. extraordinaria. wow"
266	Alfonso Garcia	5	"(Translated by Google) Very nice hopefully I can see it personal Augun Dia

(Original)
Muy Bonito ojala pueda verlo personal augun Dia"
267	olena romanchuk	5	"(Translated by Google) A very good hospital is the most beautiful hospital in the world

(Original)
Дуже хороша лікарня це найліпша лікарня світу"
268	SUN Stella	4	"(Translated by Google) Advanced medical equipment, good attitude, care for the patient's body.

(Original)
医疗设备先进，态度好，关心病人身体。"
269	shinghing lam	5	"(Translated by Google) Honored by its employees.

(Original)
以其职工为荣。"
270	Dilia Quiroz	5	"(Translated by Google) I sing in Boston

(Original)
me en canta el  boston"
271	Brigitte Wassyl	5	"(Translated by Google) For me the best hospital in Boston USA

(Original)
Für mich das beste Krankenhaus in Boston USA"
272	李钰	5	"(Translated by Google) Good hospital

(Original)
很好的一家医院"
273	ابو محمد العبد الله	5	"(Translated by Google) The best eye and bone hospital in the world

(Original)
أفضل مستشفي للعيون والعظام بالعالم"
274	Zack Zebrowski	4	"(Translated by Google) Super accessible!

(Original)
Super accesible!"
275	lurdes silva	5	"(Translated by Google) Very good and clean

(Original)
Muito bom e asseado"
276	Fr Hy	1	None
277	Elizabeth Henriquez	5	None
