,Facility_ID,State,Hospital_Type,Hospital_Ownership,Emergency_Services,Hospital_overall_rating,Mortality_national_comparison,Safety_of_care_national_comparison,Readmission_national_comparison,Patient_experience,Effectiveness_of_care_national_comparison,Timeliness_of_care_national_comparison,Efficient_use_of_medical_imaging_national_comparison,Rate_of_readmission_after_discharge,Denominator,Readmission_after_discharge_Score,Lower_Estimate,Higher_Estimate,Care_transition,Cleanliness,Communication_about_medicines,Discharge_information,Doctor_communication,Nurse_communication,Quietness,Staff_responsiveness
832,100022,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Worse Than the National Rate,2691,17.3,15.9,18.2,1,3,2,2,2,2,2,2
833,100023,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,No Different Than the National Rate,3907,16.5,15.6,17.4,2,2,2,2,1,3,1,3
834,100025,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,4447,14.7,13.9,15.6,4,2,3,3,3,3,3,3
835,100026,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2018,14.7,13.8,15.8,2,1,2,3,2,2,1,1
836,100028,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1645,15,13.9,16.2,2,3,2,3,2,3,3,3
837,100029,FL,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,1863,17.2,15.8,18.2,2,2,2,1,2,2,2,2
838,100030,FL,Acute Care Hospitals,Government - State,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2119,16.3,15.2,17.3,2,3,2,1,2,3,4,3
839,100032,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,1991,17.6,15.9,18.8,1,1,1,2,2,2,2,2
840,100034,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Worse Than the National Rate,3584,16.8,15.7,17.7,3,3,2,2,3,3,4,2
841,100035,FL,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3784,16.1,15.2,17,2,2,2,2,1,2,1,2
842,100038,FL,Acute Care Hospitals,Government - Hospital District or Authority,No,4,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2799,15.6,14.7,16.5,3,3,3,3,3,4,3,3
843,100039,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Worse Than the National Rate,1879,17.2,15.8,18.3,2,1,2,2,2,2,3,2
844,100040,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,5270,16.6,15.6,17.4,3,2,2,3,2,3,3,3
845,100043,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1300,14.7,13.5,16,4,4,4,4,3,4,5,4
846,100044,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,Worse Than the National Rate,9014,17.1,15.9,17.8,2,2,2,2,2,2,2,2
847,100045,FL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,1879,16,14.9,17.1,3,3,3,4,3,4,3,3
848,100046,FL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2158,14.8,13.8,15.8,4,3,3,4,3,4,3,4
849,100047,FL,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1339,15.7,14.5,16.9,2,2,2,2,2,2,3,2
851,100049,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1065,16.7,15.4,18,2,2,2,3,2,3,4,4
853,100051,FL,Acute Care Hospitals,Government - Hospital District or Authority,No,4,Above the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Worse Than the National Rate,3179,16.8,15.7,17.8,2,3,2,3,3,4,3,4
854,100052,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3721,16.3,15.4,17.2,3,2,3,3,2,4,3,3
855,100053,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,898,16.6,15.3,18,1,4,3,2,2,3,3,3
856,100054,FL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,1114,16.3,15,17.6,4,4,3,3,3,4,3,4
857,100055,FL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,No Different Than the National Rate,1294,15.8,14.7,17,3,3,3,3,2,4,3,4
858,100057,FL,Acute Care Hospitals,Voluntary non-profit - Church,No,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Better Than the National Rate,4417,13.8,13.1,15.2,3,4,4,3,2,4,4,4
859,100062,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,2,Below the national average,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,No Different Than the National Rate,3891,15.3,14.5,16.2,1,2,1,2,1,2,2,2
860,100063,FL,Acute Care Hospitals,Voluntary non-profit - Private,No,3,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1613,16,15,17.2,3,3,4,3,2,4,2,4
861,100067,FL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,4382,16.4,15.5,17.1,3,3,3,3,2,4,3,3
862,100068,FL,Acute Care Hospitals,Voluntary non-profit - Church,No,4,Same as the national average,Below the national average,Above the national average,Above the national average,Above the national average,Below the national average,Above the national average,No Different Than the National Rate,4297,14.6,13.9,15.6,4,3,3,4,3,4,5,3
864,100070,FL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,No Different Than the National Rate,3521,15.1,14.2,16,1,1,1,2,1,2,2,1
866,100072,FL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,2258,16.3,15.3,17.3,3,3,4,4,2,4,3,4
867,100073,FL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,5011,15,14.2,15.9,3,2,2,3,3,2,1,2
868,100075,FL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,4,Above the national average,Above the national average,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average,Better Than the National Rate,7414,14.8,14.2,15.5,4,3,3,4,3,4,4,3
869,100077,FL,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,3042,17,15.8,17.9,1,1,1,2,1,2,1,1
870,100080,FL,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Worse Than the National Rate,6282,16.6,15.7,17.3,2,1,2,2,1,2,1,1
872,100084,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4390,15.8,15,16.7,1,1,1,1,1,2,2,2
873,100086,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,1,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Worse Than the National Rate,2299,17.2,15.8,18.4,3,3,3,3,2,3,3,3
874,100087,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,14207,15,14.5,15.6,4,2,3,3,3,4,2,3
875,100088,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,9892,16.1,15.4,16.7,3,3,2,3,3,3,4,3
876,100090,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3960,16.6,15.6,17.5,2,1,2,2,2,2,2,2
877,100092,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,2186,16.5,15.4,17.5,2,2,3,2,2,3,3,3
878,100093,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,3528,14.6,13.7,15.6,3,2,2,3,3,3,3,2
881,100105,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,5310,15.1,14.4,15.9,2,1,2,2,2,3,2,3
884,100109,FL,Acute Care Hospitals,Voluntary non-profit - Church,No,4,Same as the national average,Above the national average,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,No Different Than the National Rate,3623,14.5,13.8,15.6,2,2,2,3,1,2,3,3
886,100113,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,Below the national average,Worse Than the National Rate,7463,16.8,15.8,17.4,4,2,3,3,3,3,3,3
887,100117,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,No Different Than the National Rate,2419,15.6,14.6,16.6,3,3,3,3,4,4,4,4
888,100118,FL,Acute Care Hospitals,Voluntary non-profit - Church,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,2784,15.3,14.3,16.3,2,3,3,4,2,3,3,3
890,100122,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1677,15.1,14.1,16.1,1,3,1,3,2,2,3,2
891,100124,FL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1018,16.3,15.1,17.6,2,3,2,3,2,3,3,3
892,100125,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,511,15.9,14.5,17.4,3,3,2,3,2,3,4,2
894,100127,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average,Above the national average,No Different Than the National Rate,6589,15.2,14.5,15.9,4,3,3,4,3,4,3,4
895,100128,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,6604,15.8,15.1,16.5,4,3,3,3,3,4,3,3
897,100131,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,3329,17.7,16.1,18.6,2,2,2,2,2,2,3,2
898,100132,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,984,14.2,13,15.6,4,3,3,4,3,4,4,4
900,100135,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,No Different Than the National Rate,4838,15.5,14.7,16.3,2,1,2,2,2,3,3,1
901,100137,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,1396,16.1,14.8,17.3,1,2,1,1,1,1,2,1
902,100140,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1036,14.3,13.1,15.8,4,4,3,3,4,4,4,3
903,100142,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Above the national average,Below the national average,Above the national average,Below the national average,Above the national average,Same as the national average,No Different Than the National Rate,792,16.1,14.8,17.5,3,4,5,4,4,4,4,3
904,100150,FL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,623,15.6,14.1,17.1,2,2,3,2,3,3,3,4
905,100151,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,5148,15.2,14.5,16,5,4,5,4,4,4,5,4
906,100154,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,2099,16.5,15.4,17.6,4,3,2,2,3,3,3,3
907,100156,FL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Above the national average,Worse Than the National Rate,2530,17.4,15.9,18.4,3,3,3,3,2,4,2,5
908,100157,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Worse Than the National Rate,8038,17.1,15.9,17.8,2,2,2,2,2,3,3,3
909,100161,FL,Acute Care Hospitals,Proprietary,Yes,2,Above the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,2302,17.7,16,18.8,2,2,3,2,2,2,2,3
910,100166,FL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Above the national average,No Different Than the National Rate,3461,15.4,14.4,16.5,3,2,3,3,2,3,2,3
911,100167,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Worse Than the National Rate,1875,17.4,15.9,18.5,3,2,3,2,2,3,3,2
912,100168,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,1,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,8687,16.1,15.5,16.8,2,2,2,2,3,3,1,2
913,100173,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Below the national average,Better Than the National Rate,3319,14.1,13.3,15.3,3,2,2,3,2,3,3,3
914,100175,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,No Different Than the National Rate,301,14.6,13.1,16.2,3,4,4,3,3,4,4,5
915,100176,FL,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3682,16.4,15.5,17.3,2,1,2,2,2,2,2,3
916,100177,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,1856,15.1,14.1,16.2,4,3,3,4,3,4,3,4
917,100179,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,3557,16.5,15.6,17.3,2,2,2,2,2,2,3,2
920,100183,FL,Acute Care Hospitals,Proprietary,Yes,3,Above the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1121,16.3,15.2,17.5,2,3,3,1,2,3,2,3
921,100187,FL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1381,15.3,14.3,16.5,1,3,3,1,2,3,2,3
922,100189,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,2076,17,15.7,18.1,1,1,1,1,1,2,1,1
923,100191,FL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Above the national average,Worse Than the National Rate,2631,16.9,15.7,17.9,2,3,3,3,2,3,3,3
924,100200,FL,Acute Care Hospitals,Government - Hospital District or Authority,No,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,769,16,14.6,17.5,3,3,2,2,2,3,3,2
925,100204,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Worse Than the National Rate,8519,16.6,15.7,17.2,2,1,2,2,2,2,1,2
926,100206,FL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1052,15.4,14.3,16.7,2,2,3,3,2,3,3,3
929,100212,FL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average,No Different Than the National Rate,7795,16.5,15.6,17.2,2,2,2,2,1,2,2,3
930,100213,FL,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,4517,16.6,15.6,17.5,2,1,2,2,1,2,1,1
931,100217,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,1526,15.6,14.5,16.8,1,1,1,1,2,2,2,1
932,100220,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Above the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,6469,14.9,14.2,15.7,2,1,2,3,2,3,2,3
933,100223,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average,No Different Than the National Rate,3840,15.6,14.7,16.4,2,1,2,2,1,2,2,2
934,100224,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1637,16.9,15.6,18.1,1,2,2,2,2,2,2,2
935,100226,FL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,3881,16,15.2,16.8,2,2,2,2,2,3,2,2
936,100228,FL,Acute Care Hospitals,Proprietary,No,1,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Worse Than the National Rate,2512,17,15.7,18,1,1,2,1,1,2,1,1
937,100230,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,4,Same as the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,694,15.3,13.9,16.8,3,3,3,3,2,3,4,3
938,100231,FL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,No Different Than the National Rate,5105,15.8,15,16.5,2,2,2,3,2,2,2,2
939,100232,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Worse Than the National Rate,1778,18.7,16.3,19.9,2,2,2,2,1,2,2,2
940,100236,FL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Worse Than the National Rate,4370,16.7,15.7,17.6,2,1,2,2,1,2,1,2
941,100238,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Worse Than the National Rate,2277,17,15.8,18,3,2,2,2,2,3,1,4
942,100242,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2708,14.5,13.6,15.6,3,2,2,3,2,3,2,2
943,100243,FL,Acute Care Hospitals,Proprietary,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Above the national average,Worse Than the National Rate,3874,17.6,16,18.5,2,2,2,2,2,2,2,2
944,100244,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,4391,14.9,14.1,15.7,2,2,2,3,2,3,2,2
945,100246,FL,Acute Care Hospitals,Proprietary,Yes,1,Same as the national average,Same as the national average,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Worse Than the National Rate,3371,18.8,16.4,19.8,1,1,2,1,1,2,1,1
946,100248,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Worse Than the National Rate,3330,17.3,15.9,18.2,2,2,2,2,2,2,2,3
947,100249,FL,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Below the national average,Above the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1992,16.2,15.1,17.4,1,2,1,2,1,2,1,2
948,100252,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Below the national average,No Different Than the National Rate,1200,16.1,15,17.3,2,2,3,3,2,3,2,4
949,100253,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,4048,15.2,14.3,16.2,3,3,3,3,2,3,2,3
950,100254,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Above the national average,Worse Than the National Rate,2563,17.9,16.1,19,3,3,3,2,2,3,4,3
951,100256,FL,Acute Care Hospitals,Proprietary,Yes,2,Below the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Worse Than the National Rate,3714,16.7,15.7,17.6,2,2,2,2,1,3,1,3
952,100258,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average,No Different Than the National Rate,7415,16.3,15.5,16.9,1,1,1,1,1,1,1,1
953,100259,FL,Acute Care Hospitals,Proprietary,Yes,3,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Above the national average,Same as the national average,Worse Than the National Rate,2642,16.8,15.7,17.8,3,3,2,2,2,3,3,3
954,100260,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Worse Than the National Rate,3910,19.5,16.5,20.6,2,3,3,3,2,3,3,3
956,100265,FL,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Below the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Better Than the National Rate,4390,13.7,13,15.1,4,3,3,4,3,4,2,3
957,100266,FL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1491,14.9,13.8,16.2,4,1,3,3,3,4,4,4
958,100267,FL,Acute Care Hospitals,Proprietary,Yes,4,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,No Different Than the National Rate,1464,15.1,13.9,16.2,3,3,4,3,2,3,2,4
959,100268,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,1495,16.1,14.9,17.3,2,1,2,2,1,2,2,2
961,100275,FL,Acute Care Hospitals,Proprietary,Yes,1,Below the national average,Same as the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1856,16.9,15.6,18,1,3,2,2,1,2,3,2
964,100281,FL,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average,No Different Than the National Rate,2349,16,15.1,17,4,4,3,3,3,4,5,3
967,100286,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Above the national average,Above the national average,Below the national average,No Different Than the National Rate,4730,16.4,15.5,17.3,1,1,1,2,2,2,2,1
968,100287,FL,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,No Different Than the National Rate,1952,16,14.9,17.2,1,2,2,2,1,2,3,2
